LSOA code (2011),LSOA name (2011),Local Authority District code (2019),Local Authority District name (2019),Index of Multiple Deprivation (IMD) Score,Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived),Index of Multiple Deprivation (IMD) Decile (where 1 is most deprived 10% of LSOAs)
E01000001,City of London 001A,E09000001,City of London,6.2,29199,9
E01000002,City of London 001B,E09000001,City of London,5.1,30379,10
E01000003,City of London 001C,E09000001,City of London,19.4,14915,5
E01000005,City of London 001E,E09000001,City of London,28.7,8678,3
E01032739,City of London 001F,E09000001,City of London,13.6,20391,7
E01032740,City of London 001G,E09000001,City of London,15.8,18089,6
E01000006,Barking and Dagenham 016A,E09000002,Barking and Dagenham,19.8,14486,5
E01000007,Barking and Dagenham 015A,E09000002,Barking and Dagenham,31.6,7256,3
E01000008,Barking and Dagenham 015B,E09000002,Barking and Dagenham,37.6,5010,2
E01000009,Barking and Dagenham 016B,E09000002,Barking and Dagenham,32.8,6736,3
E01000010,Barking and Dagenham 015C,E09000002,Barking and Dagenham,32.4,6900,3
E01000011,Barking and Dagenham 016C,E09000002,Barking and Dagenham,30.7,7698,3
E01000012,Barking and Dagenham 015D,E09000002,Barking and Dagenham,34.7,5990,2
E01000013,Barking and Dagenham 013A,E09000002,Barking and Dagenham,39.0,4573,2
E01000014,Barking and Dagenham 013B,E09000002,Barking and Dagenham,35.7,5650,2
E01000015,Barking and Dagenham 009A,E09000002,Barking and Dagenham,33.6,6405,2
E01000016,Barking and Dagenham 009B,E09000002,Barking and Dagenham,32.8,6739,3
E01000017,Barking and Dagenham 009C,E09000002,Barking and Dagenham,39.0,4570,2
E01000018,Barking and Dagenham 009D,E09000002,Barking and Dagenham,33.4,6504,2
E01000019,Barking and Dagenham 023A,E09000002,Barking and Dagenham,33.6,6410,2
E01000020,Barking and Dagenham 023B,E09000002,Barking and Dagenham,36.0,5520,2
E01000021,Barking and Dagenham 008A,E09000002,Barking and Dagenham,38.9,4611,2
E01000022,Barking and Dagenham 008B,E09000002,Barking and Dagenham,34.4,6098,2
E01000023,Barking and Dagenham 008C,E09000002,Barking and Dagenham,36.9,5243,2
E01000024,Barking and Dagenham 008D,E09000002,Barking and Dagenham,29.3,8333,3
E01000025,Barking and Dagenham 008E,E09000002,Barking and Dagenham,36.7,5303,2
E01000027,Barking and Dagenham 001A,E09000002,Barking and Dagenham,37.3,5097,2
E01000028,Barking and Dagenham 001B,E09000002,Barking and Dagenham,40.1,4240,2
E01000029,Barking and Dagenham 001C,E09000002,Barking and Dagenham,22.5,12389,4
E01000030,Barking and Dagenham 001D,E09000002,Barking and Dagenham,38.4,4760,2
E01000031,Barking and Dagenham 002A,E09000002,Barking and Dagenham,22.7,12267,4
E01000032,Barking and Dagenham 002B,E09000002,Barking and Dagenham,30.0,8037,3
E01000033,Barking and Dagenham 006A,E09000002,Barking and Dagenham,38.0,4879,2
E01000034,Barking and Dagenham 003A,E09000002,Barking and Dagenham,35.9,5575,2
E01000035,Barking and Dagenham 010A,E09000002,Barking and Dagenham,26.2,10070,4
E01000036,Barking and Dagenham 010B,E09000002,Barking and Dagenham,19.3,15028,5
E01000037,Barking and Dagenham 003B,E09000002,Barking and Dagenham,18.0,16128,5
E01000038,Barking and Dagenham 003C,E09000002,Barking and Dagenham,19.6,14671,5
E01000039,Barking and Dagenham 003D,E09000002,Barking and Dagenham,22.3,12542,4
E01000040,Barking and Dagenham 019A,E09000002,Barking and Dagenham,34.6,6028,2
E01000041,Barking and Dagenham 017A,E09000002,Barking and Dagenham,33.2,6601,3
E01000042,Barking and Dagenham 017B,E09000002,Barking and Dagenham,41.6,3842,2
E01000043,Barking and Dagenham 019B,E09000002,Barking and Dagenham,28.1,8992,3
E01000044,Barking and Dagenham 016D,E09000002,Barking and Dagenham,28.4,8825,3
E01000045,Barking and Dagenham 017C,E09000002,Barking and Dagenham,35.7,5639,2
E01000046,Barking and Dagenham 017D,E09000002,Barking and Dagenham,29.8,8138,3
E01000048,Barking and Dagenham 021B,E09000002,Barking and Dagenham,44.7,3117,1
E01000049,Barking and Dagenham 021C,E09000002,Barking and Dagenham,41.2,3928,2
E01000050,Barking and Dagenham 019C,E09000002,Barking and Dagenham,34.7,5994,2
E01000051,Barking and Dagenham 021D,E09000002,Barking and Dagenham,36.9,5228,2
E01000052,Barking and Dagenham 019D,E09000002,Barking and Dagenham,33.3,6549,2
E01000053,Barking and Dagenham 020A,E09000002,Barking and Dagenham,40.0,4249,2
E01000054,Barking and Dagenham 018A,E09000002,Barking and Dagenham,29.8,8124,3
E01000055,Barking and Dagenham 018B,E09000002,Barking and Dagenham,30.9,7604,3
E01000056,Barking and Dagenham 018C,E09000002,Barking and Dagenham,35.9,5571,2
E01000057,Barking and Dagenham 012A,E09000002,Barking and Dagenham,32.9,6712,3
E01000058,Barking and Dagenham 018D,E09000002,Barking and Dagenham,31.8,7176,3
E01000059,Barking and Dagenham 013C,E09000002,Barking and Dagenham,32.3,6950,3
E01000060,Barking and Dagenham 006B,E09000002,Barking and Dagenham,36.2,5475,2
E01000061,Barking and Dagenham 006C,E09000002,Barking and Dagenham,46.3,2802,1
E01000062,Barking and Dagenham 006D,E09000002,Barking and Dagenham,26.7,9781,3
E01000063,Barking and Dagenham 004A,E09000002,Barking and Dagenham,33.4,6520,2
E01000064,Barking and Dagenham 006E,E09000002,Barking and Dagenham,35.3,5791,2
E01000065,Barking and Dagenham 007A,E09000002,Barking and Dagenham,39.9,4296,2
E01000066,Barking and Dagenham 011A,E09000002,Barking and Dagenham,25.8,10329,4
E01000067,Barking and Dagenham 011B,E09000002,Barking and Dagenham,21.0,13573,5
E01000068,Barking and Dagenham 016E,E09000002,Barking and Dagenham,25.6,10421,4
E01000069,Barking and Dagenham 011C,E09000002,Barking and Dagenham,16.4,17580,6
E01000070,Barking and Dagenham 011D,E09000002,Barking and Dagenham,21.0,13531,5
E01000071,Barking and Dagenham 011E,E09000002,Barking and Dagenham,18.8,15370,5
E01000072,Barking and Dagenham 017E,E09000002,Barking and Dagenham,41.0,3974,2
E01000073,Barking and Dagenham 012B,E09000002,Barking and Dagenham,38.8,4645,2
E01000074,Barking and Dagenham 012C,E09000002,Barking and Dagenham,35.0,5870,2
E01000075,Barking and Dagenham 012D,E09000002,Barking and Dagenham,37.0,5215,2
E01000076,Barking and Dagenham 012E,E09000002,Barking and Dagenham,36.2,5451,2
E01000077,Barking and Dagenham 008F,E09000002,Barking and Dagenham,41.0,3967,2
E01000078,Barking and Dagenham 007B,E09000002,Barking and Dagenham,35.0,5874,2
E01000079,Barking and Dagenham 009E,E09000002,Barking and Dagenham,34.5,6057,2
E01000080,Barking and Dagenham 007C,E09000002,Barking and Dagenham,33.2,6596,3
E01000081,Barking and Dagenham 007D,E09000002,Barking and Dagenham,30.6,7738,3
E01000082,Barking and Dagenham 007E,E09000002,Barking and Dagenham,27.9,9100,3
E01000083,Barking and Dagenham 007F,E09000002,Barking and Dagenham,34.4,6111,2
E01000084,Barking and Dagenham 013D,E09000002,Barking and Dagenham,39.8,4315,2
E01000085,Barking and Dagenham 013E,E09000002,Barking and Dagenham,35.2,5838,2
E01000086,Barking and Dagenham 013F,E09000002,Barking and Dagenham,38.2,4822,2
E01000087,Barking and Dagenham 020B,E09000002,Barking and Dagenham,34.4,6122,2
E01000088,Barking and Dagenham 020C,E09000002,Barking and Dagenham,28.8,8574,3
E01000089,Barking and Dagenham 020D,E09000002,Barking and Dagenham,29.0,8508,3
E01000090,Barking and Dagenham 020E,E09000002,Barking and Dagenham,28.3,8873,3
E01000091,Barking and Dagenham 022A,E09000002,Barking and Dagenham,42.2,3669,2
E01000092,Barking and Dagenham 019E,E09000002,Barking and Dagenham,33.8,6348,2
E01000093,Barking and Dagenham 022B,E09000002,Barking and Dagenham,46.9,2669,1
E01000094,Barking and Dagenham 022C,E09000002,Barking and Dagenham,28.2,8930,3
E01000095,Barking and Dagenham 018E,E09000002,Barking and Dagenham,32.3,6984,3
E01000096,Barking and Dagenham 022D,E09000002,Barking and Dagenham,40.9,3997,2
E01000097,Barking and Dagenham 023C,E09000002,Barking and Dagenham,38.0,4866,2
E01000098,Barking and Dagenham 023D,E09000002,Barking and Dagenham,39.4,4455,2
E01000099,Barking and Dagenham 023E,E09000002,Barking and Dagenham,29.3,8373,3
E01000100,Barking and Dagenham 004B,E09000002,Barking and Dagenham,31.8,7152,3
E01000101,Barking and Dagenham 004C,E09000002,Barking and Dagenham,40.5,4126,2
E01000102,Barking and Dagenham 007G,E09000002,Barking and Dagenham,42.6,3557,2
E01000103,Barking and Dagenham 014A,E09000002,Barking and Dagenham,32.9,6708,3
E01000104,Barking and Dagenham 014B,E09000002,Barking and Dagenham,34.7,6002,2
E01000105,Barking and Dagenham 014C,E09000002,Barking and Dagenham,44.1,3229,1
E01000106,Barking and Dagenham 014D,E09000002,Barking and Dagenham,43.5,3355,2
E01000107,Barking and Dagenham 010C,E09000002,Barking and Dagenham,28.3,8865,3
E01000108,Barking and Dagenham 010D,E09000002,Barking and Dagenham,28.2,8940,3
E01000109,Barking and Dagenham 004D,E09000002,Barking and Dagenham,25.7,10373,4
E01000110,Barking and Dagenham 002C,E09000002,Barking and Dagenham,17.7,16365,5
E01000111,Barking and Dagenham 002D,E09000002,Barking and Dagenham,28.9,8544,3
E01000112,Barking and Dagenham 002E,E09000002,Barking and Dagenham,24.7,10925,4
E01000113,Barking and Dagenham 002F,E09000002,Barking and Dagenham,25.3,10601,4
E01000114,Barking and Dagenham 004E,E09000002,Barking and Dagenham,23.3,11855,4
E01032580,Barking and Dagenham 023F,E09000002,Barking and Dagenham,34.1,6215,2
E01033587,Barking and Dagenham 021E,E09000002,Barking and Dagenham,35.0,5880,2
E01033588,Barking and Dagenham 021F,E09000002,Barking and Dagenham,35.2,5808,2
E01000115,Barnet 009A,E09000003,Barnet,6.2,29174,9
E01000116,Barnet 009B,E09000003,Barnet,7.8,27318,9
E01000117,Barnet 010A,E09000003,Barnet,9.6,24958,8
E01000118,Barnet 010B,E09000003,Barnet,9.8,24743,8
E01000119,Barnet 009C,E09000003,Barnet,11.6,22657,7
E01000120,Barnet 009D,E09000003,Barnet,5.9,29572,10
E01000121,Barnet 010C,E09000003,Barnet,36.2,5463,2
E01000122,Barnet 009E,E09000003,Barnet,10.2,24308,8
E01000123,Barnet 010D,E09000003,Barnet,11.0,23278,8
E01000124,Barnet 010E,E09000003,Barnet,23.6,11634,4
E01000125,Barnet 024A,E09000003,Barnet,26.7,9759,3
E01000126,Barnet 026A,E09000003,Barnet,33.6,6407,2
E01000127,Barnet 024B,E09000003,Barnet,27.5,9275,3
E01000128,Barnet 024C,E09000003,Barnet,27.1,9555,3
E01000129,Barnet 024D,E09000003,Barnet,31.0,7554,3
E01000130,Barnet 021A,E09000003,Barnet,30.9,7621,3
E01000131,Barnet 024E,E09000003,Barnet,20.9,13623,5
E01000132,Barnet 021B,E09000003,Barnet,25.5,10459,4
E01000133,Barnet 021C,E09000003,Barnet,30.8,7660,3
E01000134,Barnet 024F,E09000003,Barnet,24.7,10969,4
E01000135,Barnet 038A,E09000003,Barnet,12.5,21585,7
E01000136,Barnet 038B,E09000003,Barnet,9.0,25840,8
E01000137,Barnet 041A,E09000003,Barnet,28.8,8611,3
E01000138,Barnet 040A,E09000003,Barnet,27.9,9114,3
E01000139,Barnet 041B,E09000003,Barnet,12.4,21727,7
E01000140,Barnet 041C,E09000003,Barnet,16.8,17164,6
E01000141,Barnet 039A,E09000003,Barnet,28.8,8601,3
E01000142,Barnet 040B,E09000003,Barnet,16.7,17305,6
E01000143,Barnet 041D,E09000003,Barnet,31.3,7380,3
E01000144,Barnet 038C,E09000003,Barnet,18.3,15833,5
E01000145,Barnet 037A,E09000003,Barnet,14.6,19310,6
E01000146,Barnet 038D,E09000003,Barnet,18.5,15647,5
E01000147,Barnet 030A,E09000003,Barnet,12.8,21282,7
E01000148,Barnet 030B,E09000003,Barnet,27.7,9213,3
E01000150,Barnet 036A,E09000003,Barnet,15.6,18371,6
E01000151,Barnet 026B,E09000003,Barnet,38.9,4606,2
E01000152,Barnet 026C,E09000003,Barnet,32.4,6908,3
E01000153,Barnet 026D,E09000003,Barnet,41.6,3826,2
E01000154,Barnet 026E,E09000003,Barnet,32.7,6805,3
E01000155,Barnet 030D,E09000003,Barnet,20.8,13700,5
E01000156,Barnet 022A,E09000003,Barnet,8.3,26669,9
E01000157,Barnet 022B,E09000003,Barnet,12.7,21431,7
E01000158,Barnet 015A,E09000003,Barnet,19.7,14606,5
E01000159,Barnet 015B,E09000003,Barnet,16.3,17696,6
E01000160,Barnet 015C,E09000003,Barnet,12.1,22025,7
E01000161,Barnet 015D,E09000003,Barnet,14.5,19434,6
E01000162,Barnet 015E,E09000003,Barnet,18.5,15689,5
E01000163,Barnet 022C,E09000003,Barnet,28.5,8744,3
E01000164,Barnet 022D,E09000003,Barnet,25.3,10557,4
E01000165,Barnet 022E,E09000003,Barnet,13.3,20782,7
E01000166,Barnet 003A,E09000003,Barnet,14.9,19054,6
E01000167,Barnet 002A,E09000003,Barnet,28.4,8854,3
E01000168,Barnet 003B,E09000003,Barnet,7.0,28357,9
E01000169,Barnet 003C,E09000003,Barnet,13.2,20813,7
E01000170,Barnet 006A,E09000003,Barnet,20.4,14031,5
E01000171,Barnet 006B,E09000003,Barnet,24.3,11210,4
E01000172,Barnet 003D,E09000003,Barnet,8.4,26533,9
E01000173,Barnet 006C,E09000003,Barnet,9.7,24872,8
E01000174,Barnet 006D,E09000003,Barnet,16.3,17685,6
E01000175,Barnet 006E,E09000003,Barnet,7.6,27536,9
E01000176,Barnet 027A,E09000003,Barnet,30.5,7768,3
E01000177,Barnet 029A,E09000003,Barnet,8.3,26742,9
E01000178,Barnet 027B,E09000003,Barnet,8.1,27008,9
